mmc_code,direct_cost,total_cost,start_date,end_date
AGED_OUT,0,0,1/07/2014,31/12/9999
AGED_OUT,0,0,1/07/2013,30/06/2014
AGED_OUT,0,0,1/07/2012,30/06/2013
AGED_OUT,0,0,1/07/2011,30/06/2012
AGED_OUT,0,0,1/07/2010,30/06/2011
AGED_OUT,0,0,1/07/2009,30/06/2010
AGED_OUT,0,0,1/07/2008,30/06/2009
AGED_OUT,0,0,1/07/2007,30/06/2008
AGED_OUT,0,0,1/07/2006,30/06/2007
AGED_OUT,0,0,1/07/2005,30/06/2006
AGED_OUT,0,0,1/07/2004,30/06/2005
AGED_OUT,0,0,1/07/2003,30/06/2004
AGED_OUT,0,0,1/07/2002,30/06/2003
AGED_OUT,0,0,1/07/2001,30/06/2002
AGED_OUT,0,0,1/07/2000,30/06/2001
AGED_OUT,0,0,1/07/1999,30/06/2000
AGED_OUT,0,0,1/07/1998,30/06/1999
AGED_OUT,0,0,1/07/1997,30/06/1998
AGED_OUT,0,0,1/07/1996,30/06/1997
AGED_OUT,0,0,1/07/1995,30/06/1996
AGED_OUT,0,0,1/07/1994,30/06/1995
AGED_OUT,0,0,1/07/1993,30/06/1994
AGED_OUT,0,0,1/07/1992,30/06/1993
AGED_OUT,0,0,1/07/1991,30/06/1992
AGED_OUT,0,0,1/07/1990,30/06/1991
AGED_OUT,0,0,1/07/1989,30/06/1990
AGED_OUT,0,0,1/07/1988,30/06/1989
AGED_OUT,0,0,1/07/1987,30/06/1988
AGED_OUT,0,0,1/07/1986,30/06/1987
AGED_OUT,0,0,1/07/1985,30/06/1986
AGED_OUT,0,0,1/07/1984,30/06/1985
AGED_OUT,0,0,1/07/1983,30/06/1984
AGED_OUT,0,0,1/07/1982,30/06/1983
AGED_OUT,0,0,1/07/1981,30/06/1982
AGED_OUT,0,0,1/07/1980,30/06/1981
AGED_OUT,0,0,1/07/1979,30/06/1980
AGED_OUT,0,0,1/07/1978,30/06/1979
AGED_OUT,0,0,1/07/1977,30/06/1978
AGED_OUT,0,0,1/07/1976,30/06/1977
AGED_OUT,0,0,1/07/1975,30/06/1976
AGED_OUT,0,0,1/07/1974,30/06/1975
AGED_OUT,0,0,1/07/1973,30/06/1974
AGED_OUT,0,0,1/07/1972,30/06/1973
AGED_OUT,0,0,1/07/1971,30/06/1972
AGED_OUT,0,0,1/07/1970,30/06/1971
ALIVE,0,0,1/07/2014,31/12/9999
ALIVE,0,0,1/07/2013,30/06/2014
ALIVE,0,0,1/07/2012,30/06/2013
ALIVE,0,0,1/07/2011,30/06/2012
ALIVE,0,0,1/07/2010,30/06/2011
ALIVE,0,0,1/07/2009,30/06/2010
ALIVE,0,0,1/07/2008,30/06/2009
ALIVE,0,0,1/07/2007,30/06/2008
ALIVE,0,0,1/07/2006,30/06/2007
ALIVE,0,0,1/07/2005,30/06/2006
ALIVE,0,0,1/07/2004,30/06/2005
ALIVE,0,0,1/07/2003,30/06/2004
ALIVE,0,0,1/07/2002,30/06/2003
ALIVE,0,0,1/07/2001,30/06/2002
ALIVE,0,0,1/07/2000,30/06/2001
ALIVE,0,0,1/07/1999,30/06/2000
ALIVE,0,0,1/07/1998,30/06/1999
ALIVE,0,0,1/07/1997,30/06/1998
ALIVE,0,0,1/07/1996,30/06/1997
ALIVE,0,0,1/07/1995,30/06/1996
ALIVE,0,0,1/07/1994,30/06/1995
ALIVE,0,0,1/07/1993,30/06/1994
ALIVE,0,0,1/07/1992,30/06/1993
ALIVE,0,0,1/07/1991,30/06/1992
ALIVE,0,0,1/07/1990,30/06/1991
ALIVE,0,0,1/07/1989,30/06/1990
ALIVE,0,0,1/07/1988,30/06/1989
ALIVE,0,0,1/07/1987,30/06/1988
ALIVE,0,0,1/07/1986,30/06/1987
ALIVE,0,0,1/07/1985,30/06/1986
ALIVE,0,0,1/07/1984,30/06/1985
ALIVE,0,0,1/07/1983,30/06/1984
ALIVE,0,0,1/07/1982,30/06/1983
ALIVE,0,0,1/07/1981,30/06/1982
ALIVE,0,0,1/07/1980,30/06/1981
ALIVE,0,0,1/07/1979,30/06/1980
ALIVE,0,0,1/07/1978,30/06/1979
ALIVE,0,0,1/07/1977,30/06/1978
ALIVE,0,0,1/07/1976,30/06/1977
ALIVE,0,0,1/07/1975,30/06/1976
ALIVE,0,0,1/07/1974,30/06/1975
ALIVE,0,0,1/07/1973,30/06/1974
ALIVE,0,0,1/07/1972,30/06/1973
ALIVE,0,0,1/07/1971,30/06/1972
ALIVE,0,0,1/07/1970,30/06/1971
COM_DET,12.92,16.32,1/07/2014,31/12/9999
COM_DET,14.49,17.22,1/07/2013,30/06/2014
COM_DET,14.94,18.39,1/07/2012,30/06/2013
COM_DET,13.69,16.15,1/07/2011,30/06/2012
COM_DET,14.49,17.19,1/07/2010,30/06/2011
COM_DET,14.17,16.92,1/07/2009,30/06/2010
COM_DET,15.76,18.26,1/07/2008,30/06/2009
COM_DET,26.17,28.76,1/07/2007,30/06/2008
COM_DET,,,1/07/2006,30/06/2007
COM_DET,,,1/07/2005,30/06/2006
COM_DET,,,1/07/2004,30/06/2005
COM_DET,,,1/07/2003,30/06/2004
COM_DET,,,1/07/2002,30/06/2003
COM_DET,,,1/07/2001,30/06/2002
COM_DET,,,1/07/2000,30/06/2001
COM_DET,,,1/07/1999,30/06/2000
COM_DET,,,1/07/1998,30/06/1999
COM_DET,,,1/07/1997,30/06/1998
COM_DET,,,1/07/1996,30/06/1997
COM_DET,,,1/07/1995,30/06/1996
COM_DET,,,1/07/1994,30/06/1995
