inflation_type,quarter,value,start_date,end_date,base_quarter
CPI,1914Q2,15.77822,1/04/1914,30/06/1914,0
CPI,1914Q3,,1/07/1914,30/09/1914,0
CPI,1914Q4,,1/10/1914,31/12/1914,0
CPI,1915Q1,,1/01/1915,31/03/1915,0
CPI,1915Q2,,1/04/1915,30/06/1915,0
CPI,1915Q3,17.072035,1/07/1915,30/09/1915,0
CPI,1915Q4,,1/10/1915,31/12/1915,0
CPI,1916Q1,,1/01/1916,31/03/1916,0
CPI,1916Q2,,1/04/1916,30/06/1916,0
CPI,1916Q3,18.428961,1/07/1916,30/09/1916,0
CPI,1916Q4,,1/10/1916,31/12/1916,0
CPI,1917Q1,,1/01/1917,31/03/1917,0
CPI,1917Q2,,1/04/1917,30/06/1917,0
CPI,1917Q3,20.227678,1/07/1917,30/09/1917,0
CPI,1917Q4,,1/10/1917,31/12/1917,0
CPI,1918Q1,,1/01/1918,31/03/1918,0
CPI,1918Q2,,1/04/1918,30/06/1918,0
CPI,1918Q3,22.720636,1/07/1918,30/09/1918,0
CPI,1918Q4,,1/10/1918,31/12/1918,0
CPI,1919Q1,24.061785,1/01/1919,31/03/1919,0
CPI,1919Q2,,1/04/1919,30/06/1919,0
CPI,1919Q3,24.819139,1/07/1919,30/09/1919,0
CPI,1919Q4,,1/10/1919,31/12/1919,0
CPI,1920Q1,26.917643,1/01/1920,31/03/1920,0
CPI,1920Q2,,1/04/1920,30/06/1920,0
CPI,1920Q3,28.637468,1/07/1920,30/09/1920,0
CPI,1920Q4,,1/10/1920,31/12/1920,0
CPI,1921Q1,29.268597,1/01/1921,31/03/1921,0
CPI,1921Q2,,1/04/1921,30/06/1921,0
CPI,1921Q3,28.116787,1/07/1921,30/09/1921,0
CPI,1921Q4,,1/10/1921,31/12/1921,0
CPI,1922Q1,26.034061,1/01/1922,31/03/1922,0
CPI,1922Q2,,1/04/1922,30/06/1922,0
CPI,1922Q3,25.08737,1/07/1922,30/09/1922,0
CPI,1922Q4,,1/10/1922,31/12/1922,0
CPI,1923Q1,24.787582,1/01/1923,31/03/1923,0
CPI,1923Q2,,1/04/1923,30/06/1923,0
CPI,1923Q3,24.992701,1/07/1923,30/09/1923,0
CPI,1923Q4,,1/10/1923,31/12/1923,0
CPI,1924Q1,25.576494,1/01/1924,31/03/1924,0
CPI,1924Q2,,1/04/1924,30/06/1924,0
CPI,1924Q3,25.276709,1/07/1924,30/09/1924,0
CPI,1924Q4,,1/10/1924,31/12/1924,0
CPI,1925Q1,25.182039,1/01/1925,31/03/1925,0
CPI,1925Q2,,1/04/1925,30/06/1925,0
CPI,1925Q3,25.734276,1/07/1925,30/09/1925,0
CPI,1925Q4,25.813168,1/10/1925,31/12/1925,0
CPI,1926Q1,25.623829,1/01/1926,31/03/1926,0
CPI,1926Q2,25.734276,1/04/1926,30/06/1926,0
CPI,1926Q3,25.765833,1/07/1926,30/09/1926,0
CPI,1926Q4,25.655384,1/10/1926,31/12/1926,0
CPI,1927Q1,25.608051,1/01/1927,31/03/1927,0
CPI,1927Q2,25.51338,1/04/1927,30/06/1927,0
CPI,1927Q3,25.402933,1/07/1927,30/09/1927,0
CPI,1927Q4,25.418713,1/10/1927,31/12/1927,0
CPI,1928Q1,25.418713,1/01/1928,31/03/1928,0
CPI,1928Q2,25.576494,1/04/1928,30/06/1928,0
CPI,1928Q3,25.450268,1/07/1928,30/09/1928,0
CPI,1928Q4,25.576494,1/10/1928,31/12/1928,0
CPI,1929Q1,25.43449,1/01/1929,31/03/1929,0
CPI,1929Q2,25.387156,1/04/1929,30/06/1929,0
CPI,1929Q3,25.455404,1/07/1929,30/09/1929,0
CPI,1929Q4,25.455404,1/10/1929,31/12/1929,0
CPI,1930Q1,25.277748,1/01/1930,31/03/1930,0
CPI,1930Q2,25.125475,1/04/1930,30/06/1930,0
CPI,1930Q3,24.871681,1/07/1930,30/09/1930,0
CPI,1930Q4,24.440233,1/10/1930,31/12/1930,0
CPI,1931Q1,23.653477,1/01/1931,31/03/1931,0
CPI,1931Q2,23.17127,1/04/1931,30/06/1931,0
CPI,1931Q3,22.612926,1/07/1931,30/09/1931,0
CPI,1931Q4,22.536789,1/10/1931,31/12/1931,0
CPI,1932Q1,22.206858,1/01/1932,31/03/1932,0
CPI,1932Q2,21.293203,1/04/1932,30/06/1932,0
CPI,1932Q3,20.836378,1/07/1932,30/09/1932,0
CPI,1932Q4,20.455688,1/10/1932,31/12/1932,0
CPI,1933Q1,20.227276,1/01/1933,31/03/1933,0
CPI,1933Q2,20.201897,1/04/1933,30/06/1933,0
CPI,1933Q3,20.201897,1/07/1933,30/09/1933,0
CPI,1933Q4,20.303413,1/10/1933,31/12/1933,0
CPI,1934Q1,20.40493,1/01/1934,31/03/1934,0
CPI,1934Q2,20.607964,1/04/1934,30/06/1934,0
CPI,1934Q3,20.481068,1/07/1934,30/09/1934,0
CPI,1934Q4,20.557205,1/10/1934,31/12/1934,0
CPI,1935Q1,20.963274,1/01/1935,31/03/1935,0
CPI,1935Q2,21.191687,1/04/1935,30/06/1935,0
CPI,1935Q3,21.267824,1/07/1935,30/09/1935,0
CPI,1935Q4,21.699272,1/10/1935,31/12/1935,0
CPI,1936Q1,21.318584,1/01/1936,31/03/1936,0
CPI,1936Q2,21.724651,1/04/1936,30/06/1936,0
CPI,1936Q3,22.079962,1/07/1936,30/09/1936,0
CPI,1936Q4,22.409891,1/10/1936,31/12/1936,0
CPI,1937Q1,22.790581,1/01/1937,31/03/1937,0
CPI,1937Q2,23.323545,1/04/1937,30/06/1937,0
CPI,1937Q3,23.526581,1/07/1937,30/09/1937,0
CPI,1937Q4,24.034164,1/10/1937,31/12/1937,0
CPI,1938Q1,23.932648,1/01/1938,31/03/1938,0
CPI,1938Q2,24.135681,1/04/1938,30/06/1938,0
CPI,1938Q3,24.161062,1/07/1938,30/09/1938,0
CPI,1938Q4,24.186441,1/10/1938,31/12/1938,0
CPI,1939Q1,24.592508,1/01/1939,31/03/1939,0
CPI,1939Q2,24.947819,1/04/1939,30/06/1939,0
CPI,1939Q3,25.252371,1/07/1939,30/09/1939,0
CPI,1939Q4,26.039127,1/10/1939,31/12/1939,0
CPI,1940Q1,25.709196,1/01/1940,31/03/1940,0
CPI,1940Q2,26.115265,1/04/1940,30/06/1940,0
CPI,1940Q3,26.445196,1/07/1940,30/09/1940,0
CPI,1940Q4,26.749746,1/10/1940,31/12/1940,0
CPI,1941Q1,26.800505,1/01/1941,31/03/1941,0
CPI,1941Q2,27.130436,1/04/1941,30/06/1941,0
CPI,1941Q3,27.231953,1/07/1941,30/09/1941,0
CPI,1941Q4,27.764917,1/10/1941,31/12/1941,0
CPI,1942Q1,27.409609,1/01/1942,31/03/1942,0
CPI,1942Q2,27.841055,1/04/1942,30/06/1942,0
