activity_setting_code,activity_setting_desc,activity_type_code,activity_type_desc,activity_unit_type,fin_year,type_weight,setting_weight,activity_price,start_date,end_date
Un,Unknown,T01,Mental health crisis attendances,CON,2013/14,5,0,0,1/07/2013,30/06/2014
Un,Unknown,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T05,Crisis respite care occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T07,Group programme session attendances,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T08,Care/liaison coordination contacts,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T09,Early psychosis intervention attendances,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T10,Completed needs assessment,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T11,Maximum secure inpatient occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T12,Medium secure inpatient occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T13,Minimum secure inpatient occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T14,Forensic step down occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T15,Court liaison attendances,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T16,Substance abuse withdrawal management/detoxification occupied bed nights (medical),CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T17,Substance abuse detoxification attendances (social),CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T18,Methadone treatment specialist service attendances,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
Un,Unknown,T19,Methadone treatment specialist service attendances (consumers of authorised GPs),CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
Un,Unknown,T20,Substance abuse residential service occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T21,Psychiatric disability rehabilitation occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T22,Day treatment programme attendances,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
Un,Unknown,T23,Day activity programme attendances,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
Un,Unknown,T24,Work opportunity/employment/vocational,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
Un,Unknown,T25,Community mental health residential level 1 occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T26,Community mental health residential level 2 occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T27,Residential facility with responsive night support occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T28,Residential facility with awake night support occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T29,Community residential occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T30,Planned respite care occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T31,"T32 1.0 0.0 Contact with family/whanau, consumer not present",CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T33,Seclusion,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T34,Electroconvulsive therapy,CON,2013/14,6,0,0,1/07/2013,30/06/2014
Un,Unknown,T35,Did not attend,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T36,"Contact with family/whanau, consumer present",CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T37,On leave,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T38,Maori-specific interventions only,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T39,Integrated Maori and clinical interventions,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T40,Pacific and other people’s cultural activity,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T41,Other cultural specific activity,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T42,Individual treatment attendances: family/whanau not present,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T43,Community support contacts,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T44,Advocacy,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,T45,Peer support,CON,2013/14,1,0,0,1/07/2013,30/06/2014
Un,Unknown,TCR,MoH internal,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T46,Triage and/or screening,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T47,Support for family/whanau,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T48,Co-existing disorders residential service occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
Un,Unknown,T49,Support for children of parents with mental illness and addictions,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CM,Community,T01,Mental health crisis attendances,CON,2013/14,5,1,916.078,1/07/2013,30/06/2014
CM,Community,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T05,Crisis respite care occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T07,Group programme session attendances,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T08,Care/liaison coordination contacts,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T09,Early psychosis intervention attendances,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T10,Completed needs assessment,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T11,Maximum secure inpatient occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T12,Medium secure inpatient occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T13,Minimum secure inpatient occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T14,Forensic step down occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T15,Court liaison attendances,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T16,Substance abuse withdrawal management/detoxification occupied bed nights (medical),CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T17,Substance abuse detoxification attendances (social),CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T18,Methadone treatment specialist service attendances,CON,2013/14,1.5,1,274.8234,1/07/2013,30/06/2014
CM,Community,T19,Methadone treatment specialist service attendances (consumers of authorised GPs),CON,2013/14,1.5,1,274.8234,1/07/2013,30/06/2014
CM,Community,T20,Substance abuse residential service occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T21,Psychiatric disability rehabilitation occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T22,Day treatment programme attendances,CON,2013/14,1.5,1,274.8234,1/07/2013,30/06/2014
CM,Community,T23,Day activity programme attendances,CON,2013/14,1.5,1,274.8234,1/07/2013,30/06/2014
CM,Community,T24,Work opportunity/employment/vocational,CON,2013/14,1.5,1,274.8234,1/07/2013,30/06/2014
CM,Community,T25,Community mental health residential level 1 occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T26,Community mental health residential level 2 occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T27,Residential facility with responsive night support occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T28,Residential facility with awake night support occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T29,Community residential occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T30,Planned respite care occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T31,"T32 1.0 0.0 Contact with family/whanau, consumer not present",CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T33,Seclusion,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T34,Electroconvulsive therapy,CON,2013/14,6,1,1099.2936,1/07/2013,30/06/2014
CM,Community,T35,Did not attend,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T36,"Contact with family/whanau, consumer present",CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T37,On leave,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T38,Maori-specific interventions only,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T39,Integrated Maori and clinical interventions,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T40,Pacific and other people’s cultural activity,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T41,Other cultural specific activity,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T42,Individual treatment attendances: family/whanau not present,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T43,Community support contacts,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T44,Advocacy,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,T45,Peer support,CON,2013/14,1,1,183.2156,1/07/2013,30/06/2014
CM,Community,TCR,MoH internal,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T46,Triage and/or screening,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T47,Support for family/whanau,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T48,Co-existing disorders residential service occupied bed nights,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CM,Community,T49,Support for children of parents with mental illness and addictions,CON,2013/14,0,1,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T01,Mental health crisis attendances,CON,2013/14,5,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T05,Crisis respite care occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T07,Group programme session attendances,CON,2013/14,1,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T08,Care/liaison coordination contacts,CON,2013/14,1,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T09,Early psychosis intervention attendances,CON,2013/14,1,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T10,Completed needs assessment,CON,2013/14,1,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T11,Maximum secure inpatient occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T12,Medium secure inpatient occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T13,Minimum secure inpatient occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T14,Forensic step down occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T15,Court liaison attendances,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T16,Substance abuse withdrawal management/detoxification occupied bed nights (medical),CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T17,Substance abuse detoxification attendances (social),CON,2013/14,1,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T18,Methadone treatment specialist service attendances,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T19,Methadone treatment specialist service attendances (consumers of authorised GPs),CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T20,Substance abuse residential service occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T21,Psychiatric disability rehabilitation occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T22,Day treatment programme attendances,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T23,Day activity programme attendances,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T24,Work opportunity/employment/vocational,CON,2013/14,1.5,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T25,Community mental health residential level 1 occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T26,Community mental health residential level 2 occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T27,Residential facility with responsive night support occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T28,Residential facility with awake night support occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
CO,Non-Maori cultural setting,T29,Community residential occupied bed nights,CON,2013/14,0,0,0,1/07/2013,30/06/2014
