activity_setting_code;activity_setting_desc;activity_type_code;activity_type_desc;activity_unit_type;fin_year;type_weight;setting_weight;activity_price;start_date;end_date
Un;Unknown;T01;Mental health crisis attendances;CON;2013/14;5.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T02;Mental health intensive care inpatient or equivalent occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T03;Mental health acute inpatient or equivalent occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T04;Mental health sub-acute inpatient or equivalent occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T05;Crisis respite care occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T07;Group programme session attendances;CON;2013/14;1.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T08;Care/liaison coordination contacts;CON;2013/14;1.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T09;Early psychosis intervention attendances;CON;2013/14;1.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T10;Completed needs assessment;CON;2013/14;1.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T11;Maximum secure inpatient occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T12;Medium secure inpatient occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T13;Minimum secure inpatient occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T14;Forensic step down occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T15;Court liaison attendances;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T16;Substance abuse withdrawal management/detoxification occupied bed nights (medical);CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T17;Substance abuse detoxification attendances (social);CON;2013/14;1.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T18;Methadone treatment specialist service attendances;CON;2013/14;1.5000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T19;Methadone treatment specialist service attendances (consumers of authorised GPs);CON;2013/14;1.5000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T20;Substance abuse residential service occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T21;Psychiatric disability rehabilitation occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T22;Day treatment programme attendances;CON;2013/14;1.5000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T23;Day activity programme attendances;CON;2013/14;1.5000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T24;Work opportunity/employment/vocational;CON;2013/14;1.5000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T25;Community mental health residential level 1 occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T26;Community mental health residential level 2 occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
Un;Unknown;T27;Residential facility with responsive night support occupied bed nights;CON;2013/14;.0000;.0000;.0000;2013-07-01;2014-06-30
