offence_category,court_type,start_date,end_date,price
C1,Adult,1/01/2005,31/03/2005,238.3527456
C1,Adult,1/04/2005,30/06/2005,240.4326123
C1,Adult,1/07/2005,30/09/2005,243.1364394
C1,Adult,1/10/2005,31/12/2005,244.8003327
C1,Adult,1/01/2006,31/03/2006,246.2562396
C1,Adult,1/04/2006,30/06/2006,249.9999999
C1,Adult,1/07/2006,30/09/2006,251.7500001
C1,Adult,1/10/2006,31/12/2006,251.25
C1,Adult,1/01/2007,31/03/2007,252.5000001
C1,Adult,1/04/2007,30/06/2007,255
C1,Adult,1/07/2007,30/09/2007,256.2500001
C1,Adult,1/10/2007,31/12/2007,259.2500001
C1,Adult,1/01/2008,31/03/2008,261
C1,Adult,1/04/2008,30/06/2008,265.2500001
C1,Adult,1/07/2008,30/09/2008,269.25
C1,Adult,1/10/2008,31/12/2008,267.9999999
C1,Adult,1/01/2009,31/03/2009,268.7499999
C1,Adult,1/04/2009,30/06/2009,270.2499999
C1,Adult,1/07/2009,30/09/2009,273.75
C1,Adult,1/10/2009,31/12/2009,273.2499999
C1,Adult,1/01/2010,31/03/2010,274.2500001
C1,Adult,1/04/2010,30/06/2010,274.7499999
C1,Adult,1/07/2010,30/09/2010,277.7499999
C1,Adult,1/10/2010,31/12/2010,284.25
C1,Adult,1/01/2011,31/03/2011,286.5
C1,Adult,1/04/2011,30/06/2011,289.2500001
C1,Adult,1/07/2011,30/09/2011,290.4999999
C1,Adult,1/10/2011,31/12/2011,289.5
C1,Adult,1/01/2012,31/03/2012,291
C1,Adult,1/04/2012,30/06/2012,291.9999999
C1,Adult,1/07/2012,30/09/2012,292.7499999
C1,Adult,1/10/2012,31/12/2012,292.2500001
C1,Adult,1/01/2013,31/03/2013,293.4999999
C1,Adult,1/04/2013,30/06/2013,294
C1,Adult,1/07/2013,30/09/2013,296.7500001
C1,Adult,1/10/2013,31/12/2013,297
C1,Adult,1/01/2014,31/03/2014,297.9999999
C1,Adult,1/04/2014,30/06/2014,298.7499999
C1,Adult,1/07/2014,30/09/2014,299.7500001
C1,Adult,1/10/2014,31/12/2014,299.25
C1,Adult,1/01/2015,31/03/2015,298.7499999
C1,Adult,1/04/2015,30/06/2015,300
C1,Adult,1/07/2015,30/09/2015,300.9999999
