school_number,school_type_id,academic_year,school_decile,cost
1121,10023,2002,1,3233.248424
1422,10025,2002,1,3233.248424
1289,10023,2002,1,3233.248424
1770,10024,2002,1,3233.248424
1267,10023,2002,1,3233.248424
1275,10024,2002,1,3233.248424
1508,10023,2002,1,3233.248424
1633,10023,2002,1,3233.248424
1418,10024,2002,1,3233.248424
1685,10024,2002,1,3233.248424
1651,10030,2002,1,3233.248424
1520,10023,2002,1,3233.248424
1564,10025,2002,1,3233.248424
1491,10023,2002,1,3233.248424
1100,10023,2002,1,3233.248424
1348,10024,2002,1,3233.248424
1264,10024,2002,1,3233.248424
1415,10026,2002,1,3233.248424
1827,10023,2002,1,3233.248424
1632,10026,2002,1,3233.248424
1496,10023,2002,1,3233.248424
1648,10023,2002,1,3233.248424
1113,10024,2002,1,3233.248424
1259,10024,2002,1,3233.248424
1147,10030,2002,1,3233.248424
1753,10024,2002,1,3233.248424
1251,10024,2002,1,3233.248424
1322,10024,2002,1,3233.248424
1102,10023,2002,1,3233.248424
1380,10024,2002,1,3233.248424
1217,10025,2002,1,3233.248424
1467,10023,2002,1,3233.248424
1277,10024,2002,1,3233.248424
1468,10024,2002,1,3233.248424
1579,10024,2002,1,3233.248424
1122,10023,2002,1,3233.248424
1373,10024,2002,1,3233.248424
1527,10025,2002,1,3233.248424
1305,10024,2002,1,3233.248424
1332,10024,2002,1,3233.248424
1227,10023,2002,1,3233.248424
1767,10024,2002,1,3233.248424
1546,10023,2002,1,3233.248424
1110,10023,2002,1,3233.248424
1775,10023,2002,1,3233.248424
1631,10026,2002,1,3233.248424
1616,10030,2002,1,3233.248424
1333,10024,2002,1,3233.248424
1459,10023,2002,1,3233.248424
1752,10023,2002,1,3233.248424
1689,10023,2002,1,3233.248424
1215,10025,2002,1,3233.248424
1609,10023,2002,1,3233.248424
1347,10023,2002,1,3233.248424
1393,10024,2002,1,3233.248424
1210,10026,2002,1,3233.248424
1630,10026,2002,1,3233.248424
1619,10023,2002,1,3233.248424
1769,10024,2002,1,3233.248424
1534,10024,2002,1,3233.248424
1794,10024,2002,1,3233.248424
1565,10024,2002,1,3233.248424
1771,10023,2002,1,3233.248424
1751,10023,2002,1,3233.248424
1815,10024,2002,1,3233.248424
1441,10023,2002,1,3233.248424
1287,10023,2002,1,3233.248424
1408,10025,2002,1,3233.248424
1250,10032,2002,1,3233.248424
1576,10023,2002,1,3233.248424
1483,10026,2002,1,3233.248424
1419,10023,2002,1,3233.248424
1768,10025,2002,1,3233.248424
1218,10024,2002,1,3233.248424
1477,10023,2002,1,3233.248424
1718,10023,2002,1,3233.248424
1716,10024,2002,1,3233.248424
1474,10024,2002,1,3233.248424
1274,10025,2002,1,3233.248424
1434,10024,2002,1,3233.248424
1271,10024,2002,1,3233.248424
1310,10024,2002,1,3233.248424
1424,10023,2002,1,3233.248424
1580,10024,2002,1,3233.248424
1569,10025,2002,1,3233.248424
1273,10024,2002,1,3233.248424
1748,10030,2002,1,3233.248424
1705,10023,2002,1,3233.248424
1409,10024,2002,1,3233.248424
1825,10024,2002,1,3233.248424
1470,10024,2002,1,3233.248424
1248,10024,2002,1,3233.248424
1369,10024,2002,1,3233.248424
1507,10023,2002,1,3233.248424
1092,10023,2002,1,3233.248424
1400,10024,2002,1,3233.248424
1453,10023,2002,1,3233.248424
1696,10023,2002,1,3233.248424
1154,10030,2002,1,3233.248424
1142,10023,2002,1,3233.248424
1336,10023,2002,1,3233.248424
1798,10030,2002,1,3233.248424
1563,10024,2002,1,3233.248424
1526,10023,2002,1,3233.248424
1759,10023,2002,1,3233.248424
1291,10023,2002,1,3233.248424
1064,10023,2002,1,3233.248424
147,10030,2002,1,3233.248424
90,10033,2002,1,3233.248424
1045,10023,2002,1,3233.248424
1026,10024,2002,1,3233.248424
1060,10023,2002,1,3233.248424
1070,10023,2002,1,3233.248424
255,10033,2002,1,3233.248424
221,10030,2002,1,3233.248424
1046,10023,2002,1,3233.248424
213,10030,2002,1,3233.248424
185,10030,2002,1,3233.248424
1021,10024,2002,1,3233.248424
1022,10025,2002,1,3233.248424
1084,10024,2002,1,3233.248424
57,10033,2002,1,3233.248424
1053,10023,2002,1,3233.248424
452,10030,2002,1,3233.248424
435,10033,2002,1,3233.248424
94,10029,2002,1,3233.248424
1075,10023,2002,1,3233.248424
207,10029,2002,1,3233.248424
1023,10024,2002,1,3233.248424
1051,10023,2002,1,3233.248424
