activity_setting_code,activity_setting_desc,activity_type_code,activity_type_desc,activity_unit_type,fin_year,type_weight,setting_weight,activity_price,start_date,end_date
AV,Audiovisual,T01,Mental health crisis attendances,BED,2006/07,0,0,0,1/07/2006,30/06/2007
AV,Audiovisual,T01,Mental health crisis attendances,BED,2007/08,0,0,0,1/07/2007,30/06/2008
AV,Audiovisual,T01,Mental health crisis attendances,BED,2008/09,0,0,0,1/07/2008,30/06/2009
AV,Audiovisual,T01,Mental health crisis attendances,BED,2009/10,0,0,0,1/07/2009,30/06/2010
AV,Audiovisual,T01,Mental health crisis attendances,BED,2010/11,0,0,0,1/07/2010,30/06/2011
AV,Audiovisual,T01,Mental health crisis attendances,BED,2011/12,0,0,0,1/07/2011,30/06/2012
AV,Audiovisual,T01,Mental health crisis attendances,BED,2012/13,0,0,0,1/07/2012,30/06/2013
AV,Audiovisual,T01,Mental health crisis attendances,BED,2013/14,0,0,0,1/07/2013,30/06/2014
AV,Audiovisual,T01,Mental health crisis attendances,BED,2014/15,0,0,0,1/07/2014,30/06/2015
AV,Audiovisual,T01,Mental health crisis attendances,BED,2015/16,0,0,0,1/07/2015,30/06/2016
AV,Audiovisual,T01,Mental health crisis attendances,CON,2006/07,5,2,1555.139562,1/07/2006,30/06/2007
AV,Audiovisual,T01,Mental health crisis attendances,CON,2007/08,5,2,1603.232696,1/07/2007,30/06/2008
AV,Audiovisual,T01,Mental health crisis attendances,CON,2008/09,5,2,1656.327515,1/07/2008,30/06/2009
AV,Audiovisual,T01,Mental health crisis attendances,CON,2009/10,5,2,1686.722376,1/07/2009,30/06/2010
AV,Audiovisual,T01,Mental health crisis attendances,CON,2010/11,5,2,1750.974802,1/07/2010,30/06/2011
AV,Audiovisual,T01,Mental health crisis attendances,CON,2011/12,5,2,1789.834054,1/07/2011,30/06/2012
AV,Audiovisual,T01,Mental health crisis attendances,CON,2012/13,5,2,1804.454366,1/07/2012,30/06/2013
AV,Audiovisual,T01,Mental health crisis attendances,CON,2013/14,5,2,1832.156011,1/07/2013,30/06/2014
AV,Audiovisual,T01,Mental health crisis attendances,CON,2014/15,5,2,1843.313618,1/07/2014,30/06/2015
AV,Audiovisual,T01,Mental health crisis attendances,CON,2015/16,5,2,1849.469539,1/07/2015,30/06/2016
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2006/07,0,1.1,0,1/07/2006,30/06/2007
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2007/08,0,1.1,0,1/07/2007,30/06/2008
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2008/09,0,1.1,0,1/07/2008,30/06/2009
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2009/10,0,1.1,0,1/07/2009,30/06/2010
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2010/11,0,1.1,0,1/07/2010,30/06/2011
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2011/12,0,1.1,0,1/07/2011,30/06/2012
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2012/13,0,1.1,0,1/07/2012,30/06/2013
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2013/14,0,1.1,0,1/07/2013,30/06/2014
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2014/15,0,1.1,0,1/07/2014,30/06/2015
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,BED,2015/16,0,1.1,0,1/07/2015,30/06/2016
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2006/07,0,2,0,1/07/2006,30/06/2007
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2007/08,0,2,0,1/07/2007,30/06/2008
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2008/09,0,2,0,1/07/2008,30/06/2009
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2009/10,0,2,0,1/07/2009,30/06/2010
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2010/11,0,2,0,1/07/2010,30/06/2011
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2011/12,0,2,0,1/07/2011,30/06/2012
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2012/13,0,2,0,1/07/2012,30/06/2013
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2013/14,0,2,0,1/07/2013,30/06/2014
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2014/15,0,2,0,1/07/2014,30/06/2015
AV,Audiovisual,T02,Mental health intensive care inpatient or equivalent occupied bed nights,CON,2015/16,0,2,0,1/07/2015,30/06/2016
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2006/07,1,0,0,1/07/2006,30/06/2007
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2007/08,1,0,0,1/07/2007,30/06/2008
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2008/09,1,0,0,1/07/2008,30/06/2009
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2009/10,1,0,0,1/07/2009,30/06/2010
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2010/11,1,0,0,1/07/2010,30/06/2011
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2011/12,1,0,0,1/07/2011,30/06/2012
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2012/13,1,0,0,1/07/2012,30/06/2013
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2013/14,1,0,0,1/07/2013,30/06/2014
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2014/15,1,0,0,1/07/2014,30/06/2015
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,BED,2015/16,1,0,0,1/07/2015,30/06/2016
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2006/07,0,2,0,1/07/2006,30/06/2007
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2007/08,0,2,0,1/07/2007,30/06/2008
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2008/09,0,2,0,1/07/2008,30/06/2009
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2009/10,0,2,0,1/07/2009,30/06/2010
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2010/11,0,2,0,1/07/2010,30/06/2011
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2011/12,0,2,0,1/07/2011,30/06/2012
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2012/13,0,2,0,1/07/2012,30/06/2013
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2013/14,0,2,0,1/07/2013,30/06/2014
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2014/15,0,2,0,1/07/2014,30/06/2015
AV,Audiovisual,T03,Mental health acute inpatient or equivalent occupied bed nights,CON,2015/16,0,2,0,1/07/2015,30/06/2016
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2006/07,0,1,0,1/07/2006,30/06/2007
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2007/08,0,1,0,1/07/2007,30/06/2008
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2008/09,0,1,0,1/07/2008,30/06/2009
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2009/10,0,1,0,1/07/2009,30/06/2010
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2010/11,0,1,0,1/07/2010,30/06/2011
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2011/12,0,1,0,1/07/2011,30/06/2012
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2012/13,0,1,0,1/07/2012,30/06/2013
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2013/14,0,1,0,1/07/2013,30/06/2014
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2014/15,0,1,0,1/07/2014,30/06/2015
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,BED,2015/16,0,1,0,1/07/2015,30/06/2016
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2006/07,0,2,0,1/07/2006,30/06/2007
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2007/08,0,2,0,1/07/2007,30/06/2008
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2008/09,0,2,0,1/07/2008,30/06/2009
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2009/10,0,2,0,1/07/2009,30/06/2010
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2010/11,0,2,0,1/07/2010,30/06/2011
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2011/12,0,2,0,1/07/2011,30/06/2012
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2012/13,0,2,0,1/07/2012,30/06/2013
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2013/14,0,2,0,1/07/2013,30/06/2014
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2014/15,0,2,0,1/07/2014,30/06/2015
AV,Audiovisual,T04,Mental health sub-acute inpatient or equivalent occupied bed nights,CON,2015/16,0,2,0,1/07/2015,30/06/2016
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2006/07,0,1,0,1/07/2006,30/06/2007
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2007/08,0,1,0,1/07/2007,30/06/2008
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2008/09,0,1,0,1/07/2008,30/06/2009
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2009/10,0,1,0,1/07/2009,30/06/2010
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2010/11,0,1,0,1/07/2010,30/06/2011
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2011/12,0,1,0,1/07/2011,30/06/2012
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2012/13,0,1,0,1/07/2012,30/06/2013
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2013/14,0,1,0,1/07/2013,30/06/2014
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2014/15,0,1,0,1/07/2014,30/06/2015
AV,Audiovisual,T05,Crisis respite care occupied bed nights,BED,2015/16,0,1,0,1/07/2015,30/06/2016
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2006/07,0,2,0,1/07/2006,30/06/2007
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2007/08,0,2,0,1/07/2007,30/06/2008
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2008/09,0,2,0,1/07/2008,30/06/2009
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2009/10,0,2,0,1/07/2009,30/06/2010
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2010/11,0,2,0,1/07/2010,30/06/2011
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2011/12,0,2,0,1/07/2011,30/06/2012
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2012/13,0,2,0,1/07/2012,30/06/2013
AV,Audiovisual,T05,Crisis respite care occupied bed nights,CON,2013/14,0,2,0,1/07/2013,30/06/2014
