pu_code,fin_year,pu_price,start_date,end_date
AH01001,2001/02,25.28,1/07/2001,30/06/2002
AH01003,2001/02,25.28,1/07/2001,30/06/2002
AH01004,2001/02,25.83,1/07/2001,30/06/2002
AH01005,2001/02,21.37,1/07/2001,30/06/2002
AH01006,2001/02,25.28,1/07/2001,30/06/2002
AH01007,2001/02,25.28,1/07/2001,30/06/2002
AH01008,2001/02,25.28,1/07/2001,30/06/2002
AH01009,2001/02,0,1/07/2001,30/06/2002
AH01010,2001/02,0,1/07/2001,30/06/2002
BSA-70,2001/02,0,1/07/2001,30/06/2002
CS01001,2001/02,0,1/07/2001,30/06/2002
CS03001,2001/02,6.63,1/07/2001,30/06/2002
CS04001,2001/02,99.36,1/07/2001,30/06/2002
CS04002,2001/02,285.25,1/07/2001,30/06/2002
CS04003,2001/02,31.5,1/07/2001,30/06/2002
CS04004,2001/02,29.12,1/07/2001,30/06/2002
CS04005,2001/02,39.57,1/07/2001,30/06/2002
CS04006,2001/02,48.15,1/07/2001,30/06/2002
CS04007,2001/02,133.42,1/07/2001,30/06/2002
CS04008,2001/02,89.13,1/07/2001,30/06/2002
CS04009,2001/02,0,1/07/2001,30/06/2002
D01001,2001/02,2479.01,1/07/2001,30/06/2002
D01002,2001/02,131.05,1/07/2001,30/06/2002
D01002S1,2001/02,0,1/07/2001,30/06/2002
D01002S2,2001/02,0,1/07/2001,30/06/2002
D01003,2001/02,0,1/07/2001,30/06/2002
D01004,2001/02,51.74,1/07/2001,30/06/2002
D01005,2001/02,125.86,1/07/2001,30/06/2002
D01022,2001/02,0,1/07/2001,30/06/2002
DOM101,2001/02,35.18,1/07/2001,30/06/2002
DOM102,2001/02,35.18,1/07/2001,30/06/2002
DOM103,2001/02,35.18,1/07/2001,30/06/2002
DOM104,2001/02,35.18,1/07/2001,30/06/2002
DOM105,2001/02,12.53,1/07/2001,30/06/2002
DOM106,2001/02,3.4,1/07/2001,30/06/2002
DOM107,2001/02,10.39,1/07/2001,30/06/2002
DSS214,2001/02,338.46,1/07/2001,30/06/2002
DSS215,2001/02,126.28,1/07/2001,30/06/2002
DSS216,2001/02,141.08,1/07/2001,30/06/2002
DSS217,2001/02,126.08,1/07/2001,30/06/2002
