offence_Code,offence_category
1000,C2
1100,C2
1110,C2
1111,C4
1112,C4
1113,C4
1114,C4
1115,C4
1116,C4
1118,C4
1119,C4
1120,C4
1121,C4
1122,C4
1123,C4
1124,C4
1129,C4
1130,C4
1131,C4
1132,C4
1133,C4
1134,C4
1135,C4
1136,C4
1137,C4
1138,C4
1139,C4
1140,C4
1141,C4
1142,C4
1143,C4
1144,C4
1149,C4
1150,C2
1151,C3
1152,C3
1153,C3
1154,C3
1155,C3
1159,C3
1160,C2
1161,C3
1169,C4
1199,C4
1200,C2
1210,C2
1211,C3
1212,C3
1219,C3
1220,C2
1221,C3
1229,C3
1230,C2
1231,C4
1232,C4
1233,C3
1299,C2
1300,C2
1310,C2
1311,C3
1312,C3
1313,C3
1314,C3
1315,C3
1316,C3
1317,C3
1318,C3
1319,C3
1320,C2
1321,C3
1322,C3
1323,C3
1329,C3
1330,C2
1331,C3
1332,C3
1333,C3
1334,C3
1335,C3
1336,C3
1339,C3
1340,C2
1341,C3
1342,C3
1343,C3
1344,C3
1345,C3
1349,C3
1360,0
1361,C3
1399,C2
1400,C2
1410,C2
1411,C3
1412,C3
1413,C3
1414,C3
1415,C3
1416,C3
1417,C3
1418,C3
1419,C3
1420,C2
1421,C3
1422,C3
1423,C3
1424,C3
1425,C3
1426,C3
1427,C3
1428,C3
1429,C3
1430,C2
1431,C3
1432,C3
1433,C3
1434,C3
1435,C3
1436,C3
1437,C3
1438,C3
1439,C3
1440,C2
1441,C3
1442,C3
1443,C3
1444,C3
1449,C3
1450,C2
1451,C3
1452,C3
1453,C3
1454,C3
1455,C3
1456,C3
1459,C3
1460,C2
1461,C3
1462,C3
1463,C3
1464,C3
1469,C3
1470,C2
1471,C3
1472,C3
1473,C3
1474,C3
1479,C3
1480,C2
1481,C3
1482,C3
1483,C3
1489,C3
1490,C2
1491,C3
1492,C3
1493,C3
1494,C3
1498,C3
1499,C3
1500,C2
1510,C2
1511,C3
1512,C3
1513,C3
1514,C3
1519,C3
1520,C2
1521,C3
1522,C3
1523,C3
1524,C3
1529,C3
1530,C2
1531,C3
1532,C3
1533,C3
1534,C3
1539,C3
1540,C2
1541,C3
1542,C3
1543,C3
1544,C3
1549,C3
1550,C2
1551,C3
1552,C3
1553,C3
1554,C3
1559,C3
1560,C2
1561,C3
1562,C3
1563,C3
1564,C3
1569,C3
1570,C2
1571,C3
1572,C3
1573,C3
1574,C3
1579,C3
1580,C2
1581,C2
1582,C2
1583,C2
1584,C2
1585,C2
1586,C2
1587,C2
1588,C2
1589,C2
1590,C2
1591,C2
1592,C2
1593,C2
1594,C2
1599,C2
1600,C2
1610,C2
1611,C2
1612,C2
1613,C2
1614,C2
1615,C2
1616,C2
1619,C2
1620,C2
1621,C2
1622,C2
1623,C2
1624,C2
1629,C2
1630,C2
1631,C2
1632,C2
1633,C2
1634,C2
1639,C2
1640,C2
1641,C2
1642,C2
1643,C2
1644,C2
1645,C2
1646,C2
1647,C2
1648,C2
1649,C2
1650,C2
1651,C2
1652,C2
1653,C2
1654,C2
1659,C2
1699,C2
1700,C2
1710,C2
1711,C3
1712,C3
1713,C3
1714,C3
1715,C3
1719,C3
1720,C2
1721,C3
1722,C3
1723,C3
1724,C3
1725,C3
1726,C3
1727,C3
1728,C3
1729,C3
1730,C2
1731,C2
1732,C2
1733,C2
1734,C2
1735,C2
1739,C2
1740,C2
1741,C3
1742,C3
1743,C3
1744,C3
1745,C4
1746,C4
1747,C3
1748,C3
1749,C3
1750,C2
1751,C2
1752,C2
1753,C2
1754,C2
1755,C3
1756,C3
1757,C3
1758,C2
1759,C3
1760,C2
1761,C2
1762,C3
1763,C2
1764,C2
1769,C3
1770,C2
1771,C3
1772,C3
1773,C3
1774,C3
1775,C3
1776,C3
